H,FileVers,1
H,ID,E01PS10-2991
H,FileSequence,5126
H,SpiderSwVers,5.0.2 2011-10-20
H,SpiderParamVers,5
H,SpiderSysStart,30
H,SpiderTime,2012-05-11 11:42:35
H,SpiderTimeZone,+1
H,SpiderUpTime,131
H,LIU1SwVers,-
H,LIU2SwVers,-
H,SpiderLinkVers,1.0.5
H,SpiderLinkUpTime,
L,REG408,20.80,26.89
L,REG407,20.90,0.04
L,REG408,20.90,27.15
L,REG407,21.00,0.00
L,REG408,21.00,26.89
L,REG408,21.10,27.15
L,REG405,21.20,-0.08
L,REG407,21.20,0.08
L,REG408,21.20,26.89
L,REG405,21.30,0.20
L,REG407,21.40,0.16
L,REG405,21.50,-0.08
L,REG407,21.50,0.24
L,REG408,21.50,27.15
L,REG405,21.60,0.20
L,REG407,21.60,0.12
L,REG408,21.60,26.89
L,REG407,21.70,0.00
L,REG407,21.80,0.04
L,REG403,21.90,22.96
L,REG407,21.90,0.00
L,REG405,22.00,-0.08
L,REG408,22.00,27.15
L,REG403,22.10,21.92
L,REG405,22.10,0.20
L,REG403,22.20,22.96
L,REG407,22.30,0.08
L,REG408,22.30,26.89
L,REG403,22.40,21.92
L,REG407,22.40,0.04
L,REG407,22.50,0.16
L,REG408,22.50,27.15
L,REG403,22.60,22.96
L,REG407,22.60,0.28
L,REG408,22.60,26.89
L,REG403,22.70,21.92
L,REG407,22.70,0.20
L,REG408,22.70,27.15
L,REG403,22.80,22.96
L,REG405,22.80,-0.08
L,REG407,22.80,0.08
L,REG403,22.90,21.92
L,REG405,22.90,0.20
L,REG408,22.90,26.89
L,REG403,23.00,22.96
L,REG407,23.10,0.04
L,REG403,23.20,21.92
L,REG407,23.20,0.00
L,REG408,23.20,27.15
L,REG407,23.30,0.04
L,REG408,23.30,26.89
L,REG403,23.40,22.96
L,REG407,23.40,0.00
L,REG403,23.50,21.92
L,REG405,23.50,-0.08
L,REG405,23.60,0.20
L,REG407,23.60,0.12
L,REG403,23.70,22.96
L,REG405,23.70,-0.08
L,REG403,23.80,21.92
L,REG405,23.80,0.20
L,REG407,23.80,0.04
L,REG408,23.80,27.15
L,REG403,23.90,22.96
L,REG407,23.90,0.00
L,REG408,23.90,26.89
L,REG403,24.00,21.92
L,REG403,24.10,22.96
L,REG403,24.20,21.92
L,REG405,24.80,-0.08
L,REG405,24.90,0.20
L,REG405,25.10,-0.08
L,REG405,25.20,0.20
L,REG403,25.30,22.96
L,REG405,25.30,-0.08
L,REG403,25.40,21.92
L,REG405,25.40,0.20
L,REG407,25.50,0.12
L,REG403,25.60,22.96
L,REG407,25.60,0.08
L,REG403,25.70,21.92
L,REG405,25.70,-0.08
L,REG407,25.70,0.00
L,REG403,25.80,22.96
L,REG405,25.80,0.20
L,REG403,25.90,21.92
L,REG405,26.00,-0.08
L,REG403,26.10,22.96
L,REG405,26.10,0.20
L,REG407,26.10,0.04
L,REG403,26.20,21.92
L,REG405,26.20,-0.08
L,REG407,26.20,0.12
L,REG405,26.30,0.20
L,REG407,26.40,0.04
L,REG403,26.50,22.96
L,REG407,26.50,0.12
L,REG407,26.60,0.04
L,REG403,26.70,21.92
L,REG405,26.70,-0.08
L,REG407,26.70,0.00
L,REG403,26.80,22.96
L,REG405,26.80,0.20
L,REG407,26.80,0.12
L,REG407,26.90,0.08
L,REG407,27.00,0.00
L,REG407,27.10,0.12
L,REG403,27.20,21.92
L,REG407,27.20,0.08
L,REG405,27.30,-0.08
L,REG407,27.30,0.12
L,REG405,27.40,0.20
L,REG407,27.40,0.16
L,REG407,27.50,0.24
L,REG407,27.60,0.28
L,REG407,27.70,0.36
L,REG407,27.80,0.28
L,REG403,27.90,22.96
L,REG405,27.90,-0.08
L,REG407,27.90,0.20
L,REG405,28.00,0.20
L,REG407,28.00,0.16
L,REG403,28.10,21.92
L,REG407,28.10,0.12
L,REG407,28.20,0.04
L,REG407,28.30,0.16
L,REG408,28.30,27.15
L,REG405,28.40,-0.08
L,REG407,28.40,0.28
L,REG408,28.40,26.89
L,REG403,28.50,22.96
L,REG407,28.50,0.32
L,REG403,28.60,21.92
L,REG407,28.60,0.20
L,REG405,28.70,0.20
L,REG407,28.70,0.08
L,REG403,28.80,22.96
L,REG407,28.90,0.12
L,REG403,29.00,21.92
L,REG407,29.00,0.08
L,REG405,29.10,-0.08
L,REG403,29.20,22.96
L,REG407,29.20,0.04
L,REG405,29.30,0.20
L,REG407,29.30,0.08
L,REG405,29.40,-0.08
L,REG407,29.40,0.00
L,REG405,29.50,0.20
L,REG403,29.70,21.92
L,REG403,29.80,22.96
L,REG403,29.90,21.92
L,REG407,29.90,0.08
L,REG407,30.00,0.12
L,REG407,30.10,0.00
L,REG407,30.50,0.08
L,REG408,30.50,27.15
L,REG403,30.60,22.96
L,REG407,30.60,0.00
L,REG408,30.60,26.89
L,REG403,30.70,21.92
L,REG407,30.70,0.08
L,REG407,30.80,0.04
L,REG403,30.90,22.96
L,REG407,30.90,0.00
L,REG403,31.00,21.92
L,REG405,31.00,-0.08
L,REG405,31.10,0.20
L,REG403,31.30,22.96
L,REG403,31.40,21.92
L,REG407,31.40,0.04
L,REG408,31.40,27.15
L,REG403,31.50,22.96
L,REG407,31.50,0.00
L,REG408,31.50,26.89
L,REG403,31.80,21.92
L,REG403,31.90,22.96
L,REG403,32.00,21.92
L,REG407,32.30,0.08
L,REG407,32.40,0.00
L,REG407,32.50,0.04
L,REG407,32.60,0.12
L,REG403,32.70,22.96
L,REG407,32.70,0.04
L,REG405,32.80,-0.08
